연도,시도,시군구,계약종별,1월,2월,3월,4월
2023,부산광역시,기장군,교육용,1272975,1104757,881248,851920
2023,부산광역시,기장군,산업용,61932434,56000706,60149931,55907833
2023,부산광역시,기장군,농사용,3514774,3448353,2770889,2527496
2023,부산광역시,기장군,가로등,1575587,1498789,1355784,1387953
2023,부산광역시,기장군,심 야,3252389,2959210,1867333,1291454
2023,부산광역시,기장군,합 계,125181851,117505181,118476181,114352323
2023,대구광역시,중구,주택용,13282400,13058601,11071599,11522220
2023,대구광역시,중구,일반용,49695904,46308119,36591522,34092102
2023,대구광역시,중구,교육용,1388436,1304597,1002174,925032
2023,대구광역시,중구,산업용,3788072,3372521,2867221,2704921
2023,대구광역시,중구,농사용,23616,22325,19280,19150
2023,대구광역시,중구,가로등,737377,676771,647874,624285
2023,대구광역시,중구,심 야,1070629,992124,658631,439261
2023,대구광역시,중구,합 계,69986434,65735058,52858301,50326971
2023,대구광역시,동구,주택용,47814045,47333963,40029134,41253968
2023,대구광역시,동구,일반용,77726662,73731237,60259111,58124834
2023,대구광역시,동구,교육용,3560493,3275765,2518159,2188872
2023,대구광역시,동구,산업용,12606901,11674110,10083969,10299887
2023,대구광역시,동구,농사용,1873073,1770228,1273499,1082841
2023,대구광역시,동구,가로등,2265727,2138573,1876165,1906086
2023,대구광역시,동구,심 야,5243079,4975595,3295433,2208993
2023,대구광역시,동구,합 계,151089980,144899471,119335470,117065481
2023,대구광역시,서구,주택용,21420679,21056135,17880403,18231678
2023,대구광역시,서구,일반용,31584275,29955705,23520073,21784908
2023,대구광역시,서구,교육용,1714341,1417891,1180223,1007644
2023,대구광역시,서구,산업용,32154392,28962746,28538539,28765580
2023,대구광역시,서구,농사용,45849,47455,39147,38652
2023,대구광역시,서구,가로등,736849,675634,616630,588503
2023,대구광역시,서구,심 야,1962528,1894203,1257251,826244
2023,대구광역시,서구,합 계,89618913,84009769,73032266,71243209
2023,대구광역시,남구,주택용,20294012,19845743,16724204,16947754
2023,대구광역시,남구,일반용,31544985,30094528,24523098,23150788
2023,대구광역시,남구,교육용,3409168,2745803,2271327,1958038
2023,대구광역시,남구,산업용,1120737,1003801,800554,772460
2023,대구광역시,남구,농사용,28849,28228,21203,20466
2023,대구광역시,남구,가로등,536548,491900,450124,425887
2023,대구광역시,남구,심 야,3017666,2877082,1894096,1211110
2023,대구광역시,남구,합 계,59951965,57087085,46684606,44486503
2023,대구광역시,북구,주택용,57367818,55943354,48248780,49457310
2023,대구광역시,북구,일반용,80803931,76216988,61282176,58977225
2023,대구광역시,북구,교육용,10485024,10053556,7501371,6848488
2023,대구광역시,북구,산업용,67597152,63082363,56736202,55692876
2023,대구광역시,북구,농사용,802354,780698,667105,704857
